epoch,lr
0,0.1
1,0.16740140665
2,0.15219219821
3,0.143354452928
4,0.134531557
5,0.120006111042
6,0.104639732553
7,0.0896515337513
8,0.0766096860726
9,0.0654213649004
10,0.0562057556972
11,0.0484252554651
12,0.0417002881288
13,0.0357379750723
14,0.0311879132612
15,0.0263385524526
16,0.0225612095838
17,0.0191589787399
18,0.0161650643394
19,0.0134751599154
20,0.0111456979458
21,0.00927098208802
22,0.0075605185092
23,0.00626494070857
24,0.00510618765169
25,0.00411657465771
26,0.00336844081802
27,0.00274787440275
28,0.00222334859871
29,0.00181306070255
30,0.00148801650922
31,0.00119557470239
32,0.000973274843974
33,0.000768915283465
34,0.000632540049683
35,0.00052207611032
36,0.000415592646802
37,0.00033420037639
38,0.000268272637357
39,0.000224589838817
40,0.000198925442076
41,0.000146551602966
42,0.00012599580096
43,9.23379287011e-05
44,6.2645384652e-05
45,6.77504342024e-05
46,6.45965217806e-05
47,5.23231826423e-05
48,1.56554352293e-05
49,3.45479102084e-05
50,3.04134747879e-05
51,2.22052470591e-05
52,1.79862501178e-05
53,2.42052499954e-06
54,1.41089628455e-05
55,6.56892486652e-06
56,6.08809256899e-06
57,1.22203575384e-05
58,1.47578246445e-05
59,9.52417044286e-06
60,1.74332481354e-05
61,4.40226091298e-06
62,4.33309476662e-06
63,1.07988093185e-05
64,1.36063705864e-05
65,3.04585003284e-05
66,1.00933801509e-05
67,1.54303215448e-06
68,2.01711947224e-06
69,4.53678821178e-05
70,1.7310644362e-05
71,2.61699595291e-05
72,1.3908664661e-05
73,1.36956858946e-05
74,8.34383457882e-06
75,2.61958461623e-05
76,6.64063027637e-06
77,6.01829671312e-06
78,2.43121604911e-05
79,1.96928499978e-05
80,1.83808760174e-05
81,5.16983949735e-06
82,6.61723751204e-06
83,5.00627346386e-07
84,1.49835132657e-05
85,4.87102688908e-06
86,1.60938693761e-05
87,2.03250367522e-05
88,1.40336122501e-05
89,1.37968934417e-05
90,3.88648113026e-06
91,5.57771723469e-06
92,5.02945991151e-06
93,1.86518676434e-05
94,7.81901023362e-06
95,9.55604268314e-07
96,8.06304201488e-06
97,2.83980717047e-05
98,6.15357214938e-06
99,2.30460911654e-06
100,4.29640090358e-06
101,2.29174248854e-05
102,3.98510904205e-06
103,5.65760584324e-06
104,4.58266073302e-06
105,1.34306252705e-05
106,3.58980391154e-06
107,1.74857462834e-05
108,4.14550625505e-07
109,2.22027936793e-05
110,2.02860531616e-05
111,4.07283782527e-05
112,2.81306513463e-05
113,3.25044976672e-05
114,2.87583106296e-05
115,1.00244358181e-06
116,1.78196519355e-05
117,2.41525881445e-05
118,2.55592376278e-06
119,1.17889683246e-05
120,1.69605733817e-07
121,9.85605072112e-06
122,1.77020711608e-05
123,1.91980126786e-05
124,1.45728236457e-06
125,3.61006623449e-06
126,7.7834886883e-06
127,3.87495831834e-06
128,5.56838375704e-06
129,5.14977703246e-06
130,4.81070558555e-06
131,1.11856740818e-05
132,1.39197310447e-05
133,2.34233197421e-05
134,4.39488387599e-06
135,1.32785260163e-05
136,5.89627103482e-06
137,9.63531457657e-06
138,1.9140652697e-06
139,1.80614734416e-06
140,1.8470651983e-05
141,4.47611204719e-06
142,2.06333233925e-05
143,1.42833244287e-05
144,1.39991603065e-05
145,3.23868526686e-06
146,3.00696677971e-06
147,2.91619858026e-05
148,2.60508760193e-05
149,4.09353694133e-06
150,8.17509996084e-06
151,1.87701685642e-05
152,9.09283865482e-06
153,2.43728719447e-05
154,2.46013613136e-05
155,4.89762510525e-07
156,1.9834047787e-05
157,3.91724111154e-06
158,8.03230033871e-06
159,1.86545008703e-05
160,7.82114314737e-06
161,9.53876608174e-07
162,1.04913101293e-05
163,3.65037639114e-06
164,1.26754749535e-05
165,1.88120288353e-06
166,2.33907820083e-05
167,1.40871983884e-05
168,1.14106306946e-05
169,4.76059214125e-07
170,5.2449430018e-06
171,5.27142173427e-06
172,1.39885216815e-05
173,2.83383751963e-05
174,1.34259128283e-06
175,8.37650149664e-06
176,6.78496621228e-06
177,7.92549015113e-06
178,1.370864958e-05
179,1.23827785383e-05
180,1.48893856544e-05
181,3.14977425335e-05
182,2.06538364138e-05
183,1.91592750143e-05
184,1.55190127616e-05
185,1.50000678561e-05
186,9.72038744425e-06
187,5.44384631066e-06
188,1.16985180692e-05
189,5.10220547906e-06
190,1.14217889956e-05
191,4.39231404806e-06
192,3.55777437893e-06
193,7.74113228529e-06
194,1.11296521895e-05
195,9.01501827345e-06
196,7.3021648015e-06
197,1.37424906833e-06
198,1.2410189832e-06
199,1.31535629723e-05
200,3.92361910753e-06
201,8.03746651546e-06
202,1.37993504351e-05
203,8.74780633322e-06
204,2.22638809155e-06
205,1.88110469884e-05
206,7.94794550308e-06
207,8.51166700051e-07
208,5.5487800654e-06
209,1.17835144105e-05
210,5.03335844257e-06
211,1.62253579344e-05
212,6.2948002266e-06
213,1.48174582603e-05
214,1.68614762292e-05
215,1.8517130784e-05
216,4.20870819952e-07
217,5.20024040252e-06
218,6.64186224523e-06
219,5.2057338027e-07
220,1.01403345147e-05
221,1.50499911978e-06
222,1.21904928702e-06
223,8.27643248003e-06
224,9.13357782801e-06
225,7.39819804069e-06
226,3.56287289378e-06
227,1.26045971207e-05
228,1.13606188084e-05
229,2.13504388307e-05
230,7.57518537616e-06
231,3.58276992203e-06
232,2.47690513095e-05
233,2.73519341182e-05
234,1.00067290399e-05
235,8.10545052228e-06
236,1.38544174806e-05
237,1.36517456785e-05
238,3.76891144201e-06
239,3.69220445729e-06
240,5.42035312958e-06
241,1.89684911501e-05
242,1.64319480273e-06
243,8.61999034776e-06
244,1.184152722e-05
245,2.55670054767e-06
246,6.93026248198e-06
247,2.01915177255e-05
248,1.14957943193e-05
249,4.45225836026e-06
